;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;True;False;0.002;10;0;primavera;25;75;252;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.787;17.04;50.133;49.8;69.52;70.0;221.64;220.76;219.693;221.76;276.933;557.56;553.733;593.84;550.933;600.4;151.0;151.0;1.0;1.0;0.0;0.0
1;True;False;0.002;10;5;primavera;25;68;405;209;0;0;0;0;0;0;0;0;7;0.753;0.753;17.662;17.04;50.206;49.8;69.5;70.0;221.632;220.76;218.838;221.76;275.735;557.56;553.618;593.84;551.882;600.4;200.676;299.76;197.368;221.64;85.0;85.0
2;True;False;0.002;10;12;estate;15;106;667;209;0;55;7;10;0;0;0;0;17;0.748;1.503;17.849;17.467;49.245;50.267;66.943;70.4;219.292;223.467;219.651;219.933;273.406;556.8;562.208;597.733;542.755;600.733;147.217;177.6;94.896;157.667;116.358;335.0
3;True;False;0.002;10;36;estate;20;359;840;209;5;324;7;10;1;0;0;0;32;0.685;1.698;17.448;16.45;50.549;48.65;67.474;70.3;220.964;224.05;219.585;219.55;272.337;552.55;558.563;586.8;547.607;610.55;138.329;143.9;116.039;83.65;43.242;327.8
4;True;False;0.002;10;86;autunno;39;849;863;198;24;852;10;10;1;0;0;0;67;0.716;1.478;17.741;17.0;50.428;52.436;67.445;73.974;220.099;224.564;218.077;223.051;269.998;551.282;559.961;582.59;544.151;599.333;157.479;130.103;91.322;110.692;63.714;144.026
5;True;False;0.002;10;261;autunno;55;2128;403;128;40;2203;30;10;3;0;0;0;117;0.812;1.742;17.689;17.291;50.423;52.145;67.808;74.891;220.505;224.273;218.845;219.509;271.918;557.4;557.253;577.564;548.906;604.0;213.381;145.855;139.02;133.636;74.141;220.745
6;True;False;0.002;10;471;inverno;67;3625;10;36;53;4200;389;10;54;1;36;0;171;0.897;2.114;18.828;17.582;50.553;53.478;67.988;73.209;220.328;224.343;218.461;218.507;270.433;553.955;563.532;579.866;550.3;604.672;303.038;163.806;192.934;213.94;106.364;310.896
7;True;False;0.002;10;646;inverno;71;2160;0;8;77;4625;1898;11;393;5;36;15;214;1.285;1.528;19.773;18.366;50.495;53.817;67.765;75.887;221.137;224.704;217.631;214.592;269.386;542.042;587.877;563.099;555.488;601.366;444.0;208.535;323.318;276.197;213.411;290.873
8;True;False;0.002;10;678;primavera;63;309;10;6;93;4675;3387;16;786;24;36;15;239;1.317;1.701;21.424;19.079;49.942;52.302;66.631;76.921;223.233;223.921;217.57;214.683;261.728;538.127;609.693;559.222;560.683;606.651;447.217;273.571;368.113;338.159;236.065;290.714
9;True;False;0.002;10;681;primavera;36;31;72;25;101;4675;3556;31;887;44;37;15;246;1.263;1.642;22.516;19.222;48.968;51.806;61.29;77.417;219.0;224.111;221.032;222.194;251.742;556.333;621.29;587.222;590.645;620.806;428.677;343.472;407.387;361.028;241.71;261.972
10;True;False;0.002;10;683;estate;13;1;213;26;101;4675;3575;42;898;54;37;17;246;1.725;1.627;11.0;19.615;70.0;45.769;80.0;76.462;247.0;228.923;212.0;228.769;296.0;582.154;564.0;631.462;613.0;629.769;395.0;511.846;575.0;432.308;409.0;373.154
11;True;False;0.002;10;685;estate;1;0;410;40;101;4675;3575;51;899;57;37;17;246;0;3.183;11;35.0;70;78.0;80;103.0;247;238.0;212;237.0;296;549.0;564;641.0;613;541.0;0;514.0;0;523.0;0;895.0
12;True;False;0.002;10;685;estate;0;0;424;40;101;4675;3575;51;899;58;37;17;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
