;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;False;0.002;5;2;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.693;17.32;51.92;49.12;70.107;70.64;224.013;229.36;224.48;222.76;274.373;541.12;549.96;595.16;548.84;597.92;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;False;0.002;5;13;primavera;25;63;393;201;0;0;0;0;0;0;0;0;12;0.753;0.753;17.619;17.32;51.73;49.12;70.254;70.64;225.444;229.36;224.857;222.76;274.857;541.12;550.0;595.16;549.095;597.92;148.698;246.44;180.683;186.04;85.0;85.0
2;2;True;False;0.002;5;23;estate;18;138;672;210;0;90;2;7;0;0;0;0;25;0.576;1.503;17.268;17.333;53.087;49.278;70.594;70.222;226.804;233.0;222.645;224.611;270.993;538.333;549.304;590.056;550.92;602.333;154.101;170.278;70.754;229.222;75.29;335.0
3;3;True;False;0.002;5;53;estate;21;362;898;248;3;332;2;7;0;0;0;0;43;0.687;1.94;17.892;17.857;51.878;48.19;69.878;71.619;224.925;233.19;223.903;225.381;271.232;534.762;553.826;599.143;550.925;607.762;146.171;141.048;109.732;133.857;47.215;233.857
4;4;True;False;0.002;5;120;autunno;68;1037;973;179;50;1066;5;7;0;0;0;0;99;0.617;1.205;17.489;17.647;52.111;51.515;71.745;69.5;225.811;235.632;224.72;224.235;266.574;537.941;550.308;594.515;547.315;601.794;164.715;130.471;94.928;144.191;47.068;98.632
5;5;True;False;0.002;5;386;autunno;70;2151;279;22;53;2253;19;8;4;0;0;0;154;0.805;1.89;17.875;17.614;51.846;52.143;71.396;69.743;225.025;234.9;223.789;223.271;265.393;539.271;555.451;595.814;552.41;601.414;195.538;160.0;158.66;229.914;82.457;285.9
6;6;True;False;0.002;5;714;inverno;86;2550;0;3;77;3208;278;10;233;6;26;0;197;1.068;2.01;18.605;17.442;51.963;51.151;71.743;70.767;225.522;233.558;224.18;222.988;263.661;535.349;560.863;595.57;557.593;607.849;333.349;222.698;261.562;315.86;158.061;318.14
7;7;True;False;0.002;5;852;inverno;74;1028;0;1;105;3408;1457;13;733;33;26;10;244;1.313;1.345;20.487;19.0;52.451;49.189;71.41;74.5;224.419;232.243;224.439;222.676;262.418;531.703;587.439;605.149;564.713;621.068;438.409;193.73;301.76;245.608;231.268;180.324
8;8;True;False;0.002;5;877;primavera;72;308;14;22;117;3549;2126;21;893;39;27;10;276;1.031;1.592;24.088;18.389;54.468;49.486;71.12;76.458;226.097;229.583;225.718;221.569;261.945;530.167;600.487;612.306;568.575;625.431;369.808;245.097;249.649;265.194;137.263;260.681
9;9;True;False;0.002;5;892;primavera;61;191;28;19;126;3620;2250;24;931;56;27;10;302;1.106;1.949;26.34;20.82;55.503;50.525;72.377;78.77;226.555;229.246;228.34;221.59;271.325;529.164;604.963;624.23;592.545;631.852;335.194;259.492;247.88;277.197;142.979;304.377
10;10;True;False;0.002;5;906;estate;63;179;62;14;153;3732;2317;32;953;69;31;14;333;0.892;1.487;28.078;21.429;57.821;48.984;72.95;73.302;224.173;230.175;231.05;219.667;273.575;535.603;616.358;620.286;600.575;637.46;293.838;240.698;211.413;266.492;98.732;210.508
