;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;9;primavera;25;63;304;207;0;0;0;0;0;0;0;0;12;0.75;0.75;17.905;17.76;48.333;49.92;69.508;69.68;225.19;228.36;226.619;222.76;271.048;543.08;555.762;603.08;552.683;611.0;189.889;230.12;213.0;222.88;84.0;84.0
1;15;estate;29;142;378;203;0;65;5;6;0;0;0;0;23;0.531;0.984;18.021;17.483;47.549;49.862;69.0;69.034;227.62;228.966;226.81;221.034;270.465;544.552;561.303;606.931;544.514;610.931;166.965;174.655;80.887;131.0;59.944;218.828
2;36;estate;29;298;314;160;0;253;5;6;3;0;0;0;52;0.713;1.734;17.762;17.483;48.859;49.862;69.104;69.034;226.872;228.966;227.661;221.034;270.332;544.552;558.789;606.931;548.909;610.931;198.752;138.345;134.379;179.552;58.836;333.552
3;65;autunno;96;535;155;101;57;558;35;6;5;0;0;0;118;0.717;1.003;18.172;18.25;48.08;50.5;69.394;69.115;227.477;229.49;228.116;224.031;269.86;542.573;558.566;599.5;548.221;601.719;208.103;134.719;121.905;133.5;68.703;74.052
4;101;autunno;101;938;29;75;63;1112;90;7;18;0;0;0;201;0.846;1.656;18.062;18.109;48.021;50.109;69.394;69.248;228.182;229.297;228.71;224.02;267.773;544.01;561.047;601.337;543.832;596.545;301.536;161.663;185.007;179.851;83.26;236.911
5;132;autunno;153;738;7;53;120;1463;486;8;67;4;8;0;302;0.934;1.642;18.827;17.85;48.576;50.359;69.386;69.739;230.202;229.242;226.352;223.301;264.153;541.242;575.224;605.49;545.928;599.033;351.272;178.32;218.79;195.471;123.045;222.458
6;154;inverno;254;368;12;48;240;1647;825;12;133;12;8;17;481;0.89;1.171;20.889;18.28;49.332;49.634;71.302;69.213;232.899;229.15;225.957;223.996;265.986;545.35;581.016;602.823;550.323;591.335;363.609;159.551;231.595;172.327;112.606;130.406
7;169;inverno;275;118;26;34;277;1694;967;15;157;25;9;17;612;0.827;1.67;21.737;18.28;50.568;50.404;73.229;69.444;235.873;229.436;224.314;223.585;261.458;543.873;575.746;602.164;564.475;592.025;330.068;242.698;220.686;256.175;110.636;269.236
8;179;primavera;275;50;68;31;360;1722;996;45;163;83;10;23;702;0.719;1.644;20.84;19.251;50.76;50.975;72.16;69.465;240.1;228.949;226.94;223.775;251.74;538.818;572.92;602.218;579.14;592.287;263.32;275.44;199.12;247.433;94.22;248.062
9;186;primavera;211;5;135;41;410;1722;1002;99;166;137;10;30;738;1.135;1.69;18.4;20.635;53.2;53.038;79.6;69.991;243.8;227.583;226.0;223.256;254.0;538.844;605.6;606.303;554.4;587.545;227.8;366.071;310.6;298.043;205.4;282.882
10;192;estate;93;9;184;51;415;1722;1002;178;167;183;10;38;763;0.917;1.89;18.333;21.043;52.667;54.022;78.333;70.086;242.111;229.258;225.778;222.301;254.778;542.581;601.667;631.43;555.111;597.742;319.667;380.484;268.0;354.817;135.778;358.527
11;195;estate;24;3;245;50;415;1722;1006;216;168;213;10;39;764;1.5;2.553;18.0;22.25;53.0;57.125;79.0;72.625;243.0;232.417;226.0;221.833;254.0;535.5;605.0;646.667;554.0;610.833;157.333;446.5;500.0;327.5;334.0;557.583
12;199;autunno;15;28;230;50;415;1722;1006;229;170;217;10;41;767;0.804;1.346;18.0;22.0;53.0;54.8;79.0;72.733;243.0;230.267;226.0;221.4;254.0;526.467;605.0;671.267;554.0;605.333;245.429;386.133;249.321;326.4;101.857;282.733
13;202;autunno;5;21;210;59;415;1722;1010;237;170;219;10;41;770;1.571;2.503;18.0;23.4;53.0;61.0;79.0;71.6;243.0;222.4;226.0;222.6;254.0;521.4;605.0;665.8;554.0;607.2;286.952;222.8;408.095;378.6;357.81;668.2
