;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;False;True;0.0005;3;2;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.68;16.76;50.627;50.68;70.213;70.24;223.853;223.12;223.733;221.0;273.133;550.92;555.227;604.92;548.493;601.72;151.0;151.0;1.0;1.0;0.0;0.0
1;1;False;True;0.0005;3;12;primavera;25;61;282;200;0;0;0;0;0;0;0;0;14;0.753;0.753;17.77;16.76;50.557;50.68;70.115;70.24;224.098;223.12;223.934;221.0;272.41;550.92;555.213;604.92;547.0;601.72;160.689;227.24;197.934;204.04;85.0;85.0
2;2;False;True;0.0005;3;21;estate;30;118;345;196;0;44;4;5;0;0;0;0;27;0.582;1.004;17.831;16.533;50.475;50.467;70.432;70.333;223.093;224.0;223.373;220.333;267.941;553.233;548.661;600.5;546.881;600.933;161.593;172.3;82.89;121.133;84.076;223.333
3;3;False;True;0.0005;3;42;estate;37;308;290;168;7;264;4;5;0;0;0;0;57;0.65;1.424;17.974;16.378;50.89;49.973;70.11;70.622;223.617;226.081;226.282;220.27;272.526;550.108;554.237;599.216;545.403;602.324;184.769;131.486;121.013;105.216;41.825;259.486
4;4;False;True;0.0005;3;77;autunno;108;646;159;140;68;663;20;5;0;0;0;0;132;0.671;0.984;17.864;16.435;51.122;49.537;69.937;70.472;223.175;226.065;224.805;220.602;270.543;550.694;551.418;599.546;543.389;600.704;208.856;138.176;110.495;129.602;54.799;74.88
5;5;False;True;0.0005;3;127;autunno;111;1075;31;94;71;1276;87;5;0;0;0;0;249;0.836;1.702;17.949;16.45;51.162;49.568;69.771;70.568;223.767;225.829;225.654;220.297;270.9;550.586;554.371;599.153;542.559;601.225;304.054;120.793;178.804;154.91;89.446;260.054
6;6;False;True;0.0005;3;176;inverno;185;911;4;76;136;1676;527;6;17;0;12;0;374;0.932;1.584;17.9;16.249;51.235;49.789;69.779;70.432;223.93;225.886;225.597;219.827;271.351;548.465;555.828;600.703;542.533;601.216;368.616;153.908;236.195;144.8;125.525;206.946
7;7;False;True;0.0005;3;207;inverno;346;329;10;65;317;1861;1042;6;34;2;12;18;610;0.917;1.129;17.915;16.24;51.286;49.575;69.888;70.561;222.93;226.613;225.292;219.708;269.754;547.303;555.766;599.419;539.663;602.309;367.581;157.968;249.653;156.598;114.295;102.546
8;8;False;True;0.0005;3;229;primavera;405;50;28;60;376;1887;1162;9;43;9;12;18;820;0.411;1.59;17.3;16.235;50.98;49.756;69.2;70.486;221.36;225.914;225.34;219.536;271.28;547.563;553.78;600.015;539.8;601.501;233.36;232.067;114.12;221.612;62.1;237.467
9;9;False;True;0.0005;3;247;primavera;380;0;92;51;434;1887;1167;39;43;52;12;28;865;0.0;1.911;17.0;16.213;50.0;49.908;69.0;70.476;221.0;226.058;225.0;219.826;271.0;548.547;553.0;599.729;539.0;601.95;0.0;383.092;0.0;264.853;0.0;346.203
10;10;False;True;0.0005;3;257;estate;147;30;170;55;440;1887;1167;236;43;98;12;34;865;0.003;1.993;17.0;16.259;50.0;50.299;69.0;70.503;221.0;226.218;225.0;220.306;271.0;547.864;553.0;600.367;539.0;602.537;151.0;480.939;1.0;336.075;0.0;428.66
11;11;False;True;0.0005;3;264;estate;18;20;216;54;440;1887;1167;343;43;114;12;40;875;0.753;1.758;17.0;16.111;50.0;50.222;69.0;70.222;221.0;224.278;225.0;219.167;271.0;547.611;553.0;605.222;539.0;601.167;276.25;321.889;251.0;321.722;85.0;353.778
12;12;False;True;0.0005;3;267;autunno;15;42;281;60;440;1887;1174;353;43;117;12;40;876;0.432;0.848;17.0;16.0;50.0;50.2;69.0;70.067;221.0;224.933;225.0;218.2;271.0;546.133;553.0;604.867;539.0;600.733;174.167;213.467;105.357;101.933;95.714;226.533
13;13;False;True;0.0005;3;273;autunno;12;33;312;60;440;1887;1174;354;50;119;12;40;878;0.935;1.203;17.0;16.0;50.0;50.417;69.0;70.0;221.0;224.167;225.0;218.583;271.0;546.583;553.0;608.0;539.0;600.833;188.758;372.0;253.333;260.917;145.606;234.917
14;14;False;True;0.0005;3;278;inverno;12;69;341;59;440;1898;1178;364;51;119;12;40;878;0.682;0.519;17.0;16.0;50.0;50.25;69.0;69.917;221.0;224.0;225.0;218.25;271.0;546.667;553.0;608.167;539.0;600.583;203.754;194.75;146.116;74.75;141.928;144.583
15;15;False;True;0.0005;3;289;inverno;10;83;321;65;440;1933;1178;364;66;120;12;41;884;0.8;0.753;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;216.988;203.8;179.277;227.9;72.036;85.0
16;16;False;True;0.0005;3;303;primavera;20;141;307;66;440;1978;1184;364;68;120;14;41;891;0.733;0.753;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;191.872;174.15;152.376;140.0;93.979;167.5
17;17;False;True;0.0005;3;326;primavera;18;300;253;59;440;2175;1189;364;84;122;14;41;908;0.711;1.42;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;203.15;130.111;150.727;219.778;58.2;307.222
18;18;False;True;0.0005;3;359;estate;44;610;172;48;456;2519;1214;364;89;122;19;41;937;0.678;1.051;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;228.593;132.705;128.138;125.773;70.146;145.568
19;19;False;True;0.0005;3;409;estate;64;1130;44;45;477;3183;1296;364;104;123;19;41;984;0.733;1.268;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;278.684;135.844;158.817;151.672;71.686;135.266
20;20;False;True;0.0005;3;458;autunno;104;1156;10;45;507;3652;1684;364;113;123;22;41;1057;0.897;1.343;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;346.413;146.029;213.821;131.337;106.551;173.413
21;21;False;True;0.0005;3;494;autunno;148;514;1;56;558;3846;2393;364;127;123;25;48;1170;1.015;1.357;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;386.539;164.926;250.689;195.541;129.167;185.527
22;22;False;True;0.0005;3;511;inverno;206;124;9;53;616;3872;2719;364;139;133;26;48;1278;0.913;1.477;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;357.815;205.791;247.411;194.597;141.54;210.578
23;23;False;True;0.0005;3;523;inverno;234;6;47;51;673;3872;2770;366;149;154;26;54;1336;0.991;1.665;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;421.167;313.722;291.667;261.107;164.333;263.295
24;24;False;True;0.0005;3;532;primavera;153;29;97;48;700;3872;2771;437;149;200;26;55;1342;0.006;1.776;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;152.0;410.203;2.0;294.425;0.0;320.993
25;25;False;True;0.0005;3;538;primavera;53;14;174;52;700;3872;2771;501;149;230;26;61;1357;0.756;1.787;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;246.214;417.981;252.0;358.057;86.0;319.792
26;26;False;True;0.0005;3;542;estate;19;39;254;68;700;3872;2773;537;149;236;26;63;1360;0.352;1.462;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;186.641;247.526;109.667;198.211;77.538;315.632
27;27;False;True;0.0005;3;548;estate;11;30;309;68;700;3872;2773;540;157;240;26;64;1361;0.806;0.892;17.0;16.0;50.0;50.0;69.0;70.0;221.0;224.0;225.0;218.0;271.0;546.0;553.0;608.0;539.0;600.0;199.133;370.455;237.533;252.727;81.233;131.455
