;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;False;0.0005;3;1;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.827;17.28;50.547;51.08;70.04;70.04;223.4;220.64;224.333;219.28;275.373;546.08;548.307;585.08;549.973;594.44;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;False;0.0005;3;10;primavera;25;57;296;200;0;0;0;0;0;0;0;0;18;0.753;0.753;18.105;17.28;49.947;51.08;70.035;70.04;222.456;220.64;225.754;219.28;274.561;546.08;544.667;585.08;549.404;594.44;146.175;163.4;159.561;204.76;85.0;85.0
2;2;True;False;0.0005;3;19;estate;21;85;343;200;0;44;3;4;0;0;0;0;31;0.769;1.503;18.494;17.333;47.282;51.667;72.282;69.952;221.306;221.429;230.612;219.667;272.094;546.476;544.435;582.381;553.624;595.571;160.812;177.19;105.894;178.667;90.576;335.0
3;3;True;False;0.0005;3;41;estate;21;276;303;174;0;256;4;4;1;0;0;0;50;0.687;2.253;18.083;17.333;48.413;51.667;71.37;69.952;224.047;221.429;227.496;219.667;270.457;546.476;541.957;582.381;551.949;595.571;184.029;139.429;134.692;116.762;44.094;478.238
4;4;True;False;0.0005;3;75;autunno;75;635;171;151;54;688;18;4;1;0;0;0;109;0.678;1.179;18.123;17.493;49.709;51.907;70.849;70.04;220.209;219.92;228.066;223.32;268.559;536.92;543.402;584.467;549.567;590.52;213.288;141.907;111.283;146.613;62.74;72.76
5;5;True;False;0.0005;3;127;autunno;81;1101;39;68;61;1333;107;5;5;0;0;0;195;0.817;1.822;19.19;16.864;51.113;50.988;70.697;70.284;220.486;220.926;227.942;222.481;267.576;540.333;549.617;585.358;550.474;595.716;295.322;119.494;173.993;162.765;78.875;265.84
6;6;True;False;0.0005;3;173;inverno;117;980;4;44;98;1806;582;6;41;0;8;0;272;0.936;1.856;20.408;16.786;52.573;50.376;72.829;69.282;221.533;220.231;227.29;223.897;264.95;536.761;570.931;579.752;563.395;592.171;361.941;168.077;228.771;176.684;119.857;284.265
7;7;True;False;0.0005;3;203;inverno;214;446;5;34;222;1992;1081;9;116;4;8;20;419;1.01;1.067;21.901;17.963;52.233;50.949;72.993;69.911;220.825;218.804;226.549;223.019;266.224;536.93;588.863;580.509;568.511;585.491;386.839;164.322;261.105;168.28;135.186;93.729
8;8;True;False;0.0005;3;221;primavera;213;146;22;32;242;2060;1292;17;151;17;9;20;540;1.052;1.631;26.021;18.709;55.616;51.357;77.103;69.798;219.171;218.789;228.226;223.052;262.685;536.897;597.397;583.146;569.767;586.038;339.048;227.732;248.103;250.296;142.014;252.587
9;9;True;False;0.0005;3;233;primavera;198;53;58;28;296;2095;1327;37;170;66;11;20;612;1.016;1.76;28.302;20.091;53.509;53.091;77.358;71.121;223.943;221.707;225.491;222.737;246.132;533.53;597.226;590.157;583.906;595.449;316.189;272.121;268.113;244.818;143.981;286.172
10;10;True;False;0.0005;3;242;estate;161;5;128;29;341;2099;1336;78;174;101;11;26;652;1.538;1.65;27.2;21.348;53.2;53.0;97.2;73.671;223.8;219.938;240.4;223.72;262.4;533.317;574.2;603.764;621.8;603.491;210.4;329.354;444.8;283.95;289.4;247.224
11;11;True;False;0.0005;3;246;estate;67;1;187;28;341;2099;1336;132;175;134;11;33;655;3.567;2.039;19.0;23.851;37.0;50.97;79.0;73.582;225.0;217.597;262.0;222.746;295.0;530.313;533.0;635.358;729.0;623.239;376.0;474.388;227.0;382.597;727.0;412.716
12;12;True;False;0.0005;3;248;autunno;7;1;242;36;341;2099;1336;171;175;155;11;33;655;4.317;2.294;19.0;26.0;37.0;47.429;79.0;81.429;225.0;212.286;262.0;229.857;295.0;520.857;533.0;687.429;729.0;642.571;228.0;597.714;477.0;545.714;977.0;554.0
13;13;True;False;0.0005;3;250;autunno;0;0;271;36;341;2099;1336;175;175;158;12;33;655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
