;Unnamed: 0;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;5;primavera;25;65;294;210;0;0;0;0;0;0;0;0;10;0.75;0.75;17.523;17.36;50.446;48.8;70.385;70.44;223.4;229.8;223.862;225.48;274.985;544.6;595.892;620.08;599.985;598.36;220.569;275.84;214.262;221.44;84.0;84.0
1;1;11;primavera;20;47;367;208;0;4;10;5;0;0;0;0;22;1.373;1.5;17.702;17.65;50.085;49.2;71.17;70.35;224.106;227.15;227.66;227.55;272.0;541.1;596.766;616.65;596.596;599.0;212.383;222.65;198.872;287.45;252.66;334.0
2;2;20;estate;33;133;380;215;5;79;10;5;1;2;0;0;40;0.805;1.373;16.962;17.242;52.94;48.879;70.895;69.727;220.406;228.485;225.812;230.818;273.474;537.697;601.857;625.667;599.015;600.333;185.932;174.848;126.91;151.606;90.812;252.091
3;3;38;estate;63;262;210;172;35;248;12;5;1;2;0;0;78;0.885;1.245;17.901;16.794;52.321;50.079;70.374;68.413;223.351;229.73;222.412;229.222;272.065;537.413;599.805;614.683;597.79;598.651;205.897;167.667;154.553;140.254;92.286;141.968
4;4;61;autunno;90;605;108;150;54;655;34;6;3;3;0;0;148;0.752;1.454;17.608;17.211;52.185;49.556;70.501;68.733;223.817;228.556;223.458;230.411;268.874;538.167;598.66;612.511;592.709;592.789;246.408;150.044;141.122;130.333;63.638;177.033
5;5;93;autunno;142;831;28;84;108;1101;128;7;19;4;13;0;245;0.888;1.462;18.449;17.57;53.739;48.106;71.863;70.085;222.634;230.648;224.28;230.585;268.111;538.148;609.295;620.261;591.864;602.768;333.924;154.944;211.454;134.775;101.22;149.986
6;6;116;autunno;162;591;11;59;147;1328;430;7;55;5;13;18;374;1.122;1.471;19.511;17.309;52.785;48.364;72.305;69.414;222.003;229.556;225.898;230.549;268.655;532.926;621.489;622.272;605.574;599.179;408.711;183.302;279.672;231.673;167.589;205.914
7;7;131;inverno;218;235;26;47;217;1381;715;12;106;24;13;18;478;1.243;1.52;20.864;18.06;52.872;50.271;71.796;69.541;220.268;227.72;225.762;230.5;264.757;536.583;631.74;623.564;605.728;602.477;448.353;231.752;326.749;248.844;199.983;224.803
8;8;139;inverno;197;55;45;61;257;1398;822;30;135;67;13;18;541;1.118;1.68;20.364;18.579;52.527;51.914;75.073;68.822;217.036;226.893;223.055;230.03;256.745;533.67;624.364;623.802;594.636;601.518;404.364;293.939;327.345;297.741;203.2;264.157
9;9;145;primavera;130;39;103;54;273;1411;844;66;140;118;13;24;573;0.546;1.741;19.385;19.962;56.103;53.154;71.0;67.477;218.769;225.3;223.333;231.223;246.103;533.3;629.231;637.138;601.308;605.654;252.615;333.3;143.462;314.731;36.282;317.646
10;10;149;primavera;70;20;169;58;283;1411;846;99;140;153;14;26;589;1.097;1.897;20.85;21.3;55.35;53.443;69.25;69.414;222.8;226.643;223.4;228.0;247.8;534.143;628.05;637.171;603.25;608.229;408.6;353.686;350.1;339.5;199.75;372.743
11;11;152;primavera;30;3;241;66;288;1411;856;121;144;175;14;27;592;1.835;2.073;19.667;22.567;51.0;49.3;68.0;71.4;223.0;232.633;223.333;224.9;236.333;538.067;614.667;629.033;614.667;598.3;279.667;419.1;336.667;345.9;445.667;413.633
12;12;154;estate;19;29;282;65;288;1411;856;136;145;180;14;28;595;0.874;1.349;19.069;23.105;51.069;49.421;68.483;72.737;222.586;230.947;223.0;223.316;237.379;544.474;614.69;631.0;612.621;582.895;274.897;390.316;255.207;298.474;125.379;244.789
13;13;157;estate;6;20;295;63;288;1414;864;147;146;182;14;28;598;1.299;1.941;18.85;26.0;49.8;48.333;67.5;76.0;224.25;228.833;224.75;230.0;234.6;546.5;618.35;633.833;604.75;564.5;246.05;286.833;349.1;310.167;271.35;481.167
