;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;False;False;0.0005;3;0;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.44;17.08;49.693;50.44;70.12;69.24;227.68;226.32;225.347;227.72;275.293;543.08;547.88;595.6;552.227;605.44;151.0;151.0;1.0;1.0;0.0;0.0
1;1;False;False;0.0005;3;6;primavera;25;69;308;199;0;0;0;0;0;0;0;0;6;0.753;0.753;17.377;17.08;50.043;50.44;70.145;69.24;227.884;226.32;225.304;227.72;276.029;543.08;547.101;595.6;552.42;605.44;225.493;332.92;209.681;232.32;85.0;85.0
2;2;False;False;0.0005;3;11;estate;15;74;377;195;0;28;11;10;0;0;0;0;18;0.956;1.503;17.068;17.333;49.554;49.667;70.486;69.467;228.986;225.533;227.176;225.4;271.324;538.467;544.189;593.867;557.905;618.6;174.757;192.0;128.514;157.0;180.595;335.0
3;3;False;False;0.0005;3;20;estate;15;203;397;179;0;173;12;10;4;0;0;0;29;0.695;2.253;17.315;17.333;50.675;49.667;69.69;69.467;228.837;225.533;227.931;225.4;274.872;538.467;544.837;593.867;551.3;618.6;198.941;217.8;120.281;221.333;47.798;509.133
4;4;False;False;0.0005;3;43;autunno;38;421;301;128;23;424;22;10;4;0;0;0;52;0.82;1.334;17.297;17.053;49.729;51.132;69.72;69.026;228.979;223.184;226.39;224.421;274.857;536.316;540.701;587.711;553.705;607.684;213.171;150.605;139.903;120.579;73.147;173.026
5;5;False;False;0.0005;3;82;autunno;67;1016;125;70;53;1126;67;10;6;1;0;0;112;0.746;1.361;17.374;17.433;50.471;50.104;69.756;68.985;228.486;223.91;226.273;223.373;274.272;544.522;543.711;588.836;552.976;617.045;248.881;143.09;143.648;169.522;61.978;121.463
6;6;False;False;0.0005;3;130;inverno;72;1446;18;52;58;1908;333;10;14;1;18;0;173;0.82;1.965;17.405;17.417;50.33;50.472;69.744;68.847;229.234;223.514;226.446;224.139;274.091;543.014;542.698;590.319;553.629;617.042;322.281;163.944;194.099;175.069;93.333;287.222
7;7;False;False;0.0005;3;167;inverno;114;1021;5;41;114;2343;1104;10;26;2;18;13;251;0.94;1.227;17.452;17.579;50.611;50.772;69.739;68.623;230.042;223.377;226.173;222.333;273.492;538.456;542.379;585.825;554.706;610.36;360.911;160.412;231.378;150.544;121.986;161.851
8;8;False;False;0.0005;3;185;primavera;171;445;17;37;176;2533;1747;13;36;4;18;13;365;0.95;1.386;17.638;17.497;50.771;50.702;69.798;68.421;229.254;222.374;226.404;223.117;272.928;538.544;546.53;585.181;554.539;609.123;372.353;191.678;245.845;218.772;121.993;179.743
9;9;False;False;0.0005;3;195;primavera;191;157;48;32;217;2592;1999;22;53;17;21;13;440;1.028;1.637;17.879;17.592;50.522;50.749;69.854;68.576;229.975;222.01;228.134;223.874;272.682;539.283;550.42;585.565;558.51;608.801;353.255;256.607;277.694;273.225;150.121;245.948
10;10;False;False;0.0005;3;202;estate;159;47;114;29;249;2609;2072;41;67;60;21;15;480;1.274;1.815;17.702;17.78;51.787;50.503;70.362;68.805;236.255;222.604;228.021;223.761;272.319;538.421;550.532;586.503;559.128;610.082;377.255;330.673;319.468;319.006;208.085;311.201
11;11;False;False;0.0005;3;205;estate;81;4;170;29;258;2609;2093;87;74;97;21;19;495;2.181;1.82;18.0;18.21;52.25;50.395;70.25;69.012;234.75;221.765;225.0;223.778;275.25;538.259;548.75;587.444;557.5;606.901;217.5;375.975;427.0;407.21;441.0;366.901
12;12;False;False;0.0005;3;207;autunno;16;0;234;29;258;2609;2094;109;77;139;21;20;495;0.0;2.046;18.0;18.125;52.0;49.312;70.0;69.062;234.0;220.0;225.0;226.25;275.0;536.812;548.0;579.25;557.0;602.875;0.0;440.062;0.0;356.438;0.0;456.125
13;13;False;False;0.0005;3;208;autunno;0;0;294;49;258;2609;2094;122;77;142;21;20;495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
