;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;True;0.0005;3;0;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.693;17.56;50.827;48.08;69.627;70.04;227.507;224.56;225.0;228.4;277.32;556.96;558.133;609.12;549.68;600.04;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;True;0.0005;3;6;primavera;25;65;285;200;0;0;0;0;0;0;0;0;10;0.753;0.753;17.708;17.56;51.2;48.08;69.754;70.04;228.292;224.56;223.538;228.4;278.031;556.96;559.954;609.12;550.569;600.04;197.446;279.04;208.015;214.8;85.0;85.0
2;2;True;True;0.0005;3;10;estate;23;88;353;202;0;10;10;12;0;0;0;0;17;0.829;0.852;17.352;17.348;51.193;48.783;69.591;69.783;225.489;224.087;226.557;228.174;277.761;554.826;562.159;604.522;554.898;594.13;168.602;192.957;127.739;147.435;176.227;189.348
3;3;True;True;0.0005;3;19;estate;21;214;352;186;0;156;10;12;3;2;0;0;34;0.644;1.54;16.734;17.333;51.304;49.524;69.589;69.333;223.977;224.619;225.855;226.762;277.738;554.143;560.514;605.238;551.0;597.048;187.21;171.857;114.266;180.333;36.636;347.381
4;4;True;True;0.0005;3;43;autunno;39;463;237;135;8;411;20;12;5;2;0;0;58;0.723;1.278;17.272;16.923;51.015;50.641;70.164;69.0;225.577;224.0;225.661;222.564;279.62;558.256;565.581;604.179;546.728;590.282;197.698;137.744;137.104;93.949;67.229;214.128
5;5;True;True;0.0005;3;73;autunno;60;856;96;70;29;918;74;12;14;2;0;0;109;0.789;1.472;17.438;17.45;50.216;50.983;71.489;71.517;224.999;223.733;225.856;223.633;275.891;559.883;566.558;605.817;549.453;591.117;262.216;137.5;159.416;179.767;76.562;171.233
6;6;True;True;0.0005;3;109;inverno;101;1104;17;46;61;1479;310;12;45;3;14;0;172;0.837;1.448;17.96;17.752;51.769;51.168;70.505;71.851;226.647;224.0;226.42;225.287;275.423;550.782;576.057;606.366;545.003;594.97;321.452;174.861;194.952;190.861;102.431;176.475
7;7;True;True;0.0005;3;133;inverno;102;773;6;45;79;1761;777;12;124;10;14;10;239;0.988;1.519;19.237;17.167;53.082;51.137;70.373;71.49;227.677;223.196;225.361;223.539;274.05;551.569;589.322;612.588;543.836;597.51;376.845;200.578;250.688;221.255;133.856;237.784
8;8;True;True;0.0005;3;146;primavera;144;389;12;46;125;1894;1151;15;221;21;15;10;314;0.937;1.52;20.0;17.819;55.483;52.417;71.977;70.674;226.051;222.778;221.272;222.424;269.517;549.84;605.609;610.292;553.769;603.34;367.65;225.715;241.519;242.792;138.265;230.562
9;9;True;True;0.0005;3;155;primavera;154;182;44;39;165;1972;1305;16;274;45;16;15;391;0.928;1.629;22.258;18.383;56.302;52.994;74.758;70.838;225.418;223.442;220.808;221.838;277.901;551.039;607.181;613.39;548.423;606.39;345.423;249.825;241.698;281.591;122.363;263.149
10;10;True;True;0.0005;3;162;estate;137;122;82;38;191;2017;1366;25;299;89;16;15;440;0.83;1.614;22.73;20.109;59.836;53.343;78.918;72.482;225.639;223.409;223.057;222.182;283.418;553.036;603.615;613.467;554.934;615.489;296.943;247.314;220.041;254.898;124.566;234.08
11;11;True;True;0.0005;3;169;estate;128;53;120;40;228;2043;1393;37;320;117;16;21;487;0.9;1.541;25.358;20.727;66.283;53.461;78.396;73.625;221.811;224.695;225.679;222.562;264.585;553.609;612.434;609.945;565.604;620.719;283.906;262.273;230.811;261.172;129.151;201.727
12;12;True;True;0.0005;3;173;autunno;102;65;164;39;242;2059;1403;63;326;138;16;24;505;0.499;1.6;25.323;21.441;64.723;54.078;84.446;72.637;214.231;225.382;221.015;222.216;269.292;549.892;596.446;619.5;581.169;630.5;207.646;328.049;114.338;302.98;71.277;261.725
13;13;True;True;0.0005;3;177;autunno;59;36;178;39;249;2059;1407;90;335;161;16;24;521;0.857;1.613;25.694;22.763;63.028;55.729;86.083;73.814;214.306;227.186;219.639;222.508;270.111;553.254;598.0;626.949;590.389;645.966;293.75;357.203;249.361;340.356;119.778;292.695
14;14;True;True;0.0005;3;179;inverno;31;44;231;40;249;2059;1421;111;336;178;16;24;528;0.532;1.306;25.091;25.097;64.455;53.968;83.545;74.226;215.591;228.548;220.5;218.032;268.455;560.387;603.545;614.548;586.75;646.774;214.568;263.806;147.477;219.548;117.705;264.677
15;15;True;True;0.0005;3;182;inverno;19;29;256;50;249;2059;1421;119;346;182;16;24;533;0.945;1.571;25.345;24.737;63.517;55.0;85.103;73.368;215.241;229.684;219.759;221.632;267.862;554.474;600.828;623.316;589.586;644.0;236.0;355.053;266.448;301.263;139.69;319.211
16;16;True;True;0.0005;3;184;primavera;17;47;288;61;249;2059;1429;129;348;184;16;24;535;0.577;0.912;25.0;25.471;63.064;54.824;85.191;74.529;214.787;232.059;219.128;222.471;267.957;559.294;599.574;624.588;588.83;644.765;208.872;217.941;156.532;147.235;131.809;235.176
17;17;True;True;0.0005;3;187;primavera;13;38;326;61;249;2067;1429;132;361;185;16;24;539;0.86;1.336;24.789;25.0;62.553;54.231;85.342;75.077;215.158;233.615;218.974;222.231;270.026;559.538;603.026;626.923;595.395;644.538;216.895;292.769;236.237;233.462;110.711;279.231
18;18;True;True;0.0005;3;190;estate;14;81;363;61;249;2088;1435;140;362;185;16;25;540;0.609;0.598;24.79;25.429;63.938;52.0;85.506;75.786;215.741;233.143;217.42;222.571;269.259;560.857;604.123;624.0;590.185;645.286;198.049;185.643;128.333;115.429;115.16;151.143
19;19;True;True;0.0005;3;196;estate;13;106;388;60;249;2132;1435;140;375;186;16;25;546;0.846;1.278;24.5;25.538;63.906;51.769;85.009;76.0;216.821;233.462;217.057;222.692;274.802;561.385;610.698;624.077;600.179;645.385;182.0;267.769;191.925;228.077;80.943;260.077
20;20;True;True;0.0005;3;203;autunno;22;181;369;54;249;2195;1437;140;381;186;16;26;556;0.797;0.959;25.011;24.909;63.95;52.727;83.845;75.273;218.017;232.636;216.171;221.909;272.635;559.455;604.066;624.818;591.166;644.455;207.05;168.318;154.149;136.182;118.227;228.182
21;21;True;True;0.0005;3;220;autunno;21;584;234;60;249;2630;1439;140;390;187;16;26;577;0.595;1.683;25.317;24.905;63.61;52.667;84.661;75.286;217.334;232.619;216.223;221.905;268.812;559.476;605.134;624.762;591.918;644.476;212.587;102.571;112.901;145.143;34.882;253.905
