;Unnamed: 0;evoluzione;reinserimento;probabilita_riproduzione_carote;quantita_acqua_pozzanghera;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;True;True;0.0005;3;0;primavera;25;75;250;200;0;0;0;0;0;0;0;0;0;0.003;0.003;17.36;17.64;49.867;48.36;70.293;69.68;226.787;222.0;227.68;227.8;276.227;543.88;543.907;602.84;546.8;604.28;151.0;151.0;1.0;1.0;0.0;0.0
1;1;True;True;0.0005;3;6;primavera;25;67;299;207;0;0;0;0;0;0;0;0;8;0.753;0.753;17.269;17.64;49.97;48.36;70.224;69.68;226.194;222.0;227.642;227.8;277.313;543.88;545.119;602.84;546.746;604.28;205.731;311.24;195.358;223.52;85.0;85.0
2;2;True;True;0.0005;3;11;estate;26;91;369;203;0;12;7;9;0;0;0;0;19;0.823;0.927;17.725;17.577;50.308;47.115;70.176;69.846;226.451;225.115;228.121;226.808;276.077;546.346;541.78;604.962;542.418;607.154;164.813;182.269;115.451;132.154;156.956;206.154
3;3;True;True;0.0005;3;21;estate;26;201;381;182;0;148;7;9;3;0;0;0;42;0.768;1.677;17.313;17.577;50.378;47.115;69.567;69.846;224.896;225.115;229.209;226.808;274.453;546.346;545.677;604.962;538.547;607.154;197.726;133.115;134.02;187.885;65.592;393.077
4;4;True;True;0.0005;3;42;autunno;69;455;283;138;34;429;23;9;4;1;0;0;82;0.726;1.078;17.138;16.913;51.299;47.232;68.859;69.623;227.596;224.884;228.813;225.145;272.095;543.449;541.743;612.333;540.198;609.232;209.499;150.71;134.376;143.275;67.266;87.536
5;5;True;True;0.0005;3;77;autunno;91;772;149;73;58;897;90;10;14;2;0;0;157;0.81;1.386;17.869;17.132;52.755;47.429;70.354;69.67;226.402;224.231;228.041;225.385;270.683;549.582;550.312;611.165;538.019;605.692;257.764;149.176;161.617;174.637;72.19;158.198
6;6;True;True;0.0005;3;117;inverno;134;1003;39;36;92;1468;323;10;52;3;13;0;243;0.793;1.567;18.658;17.336;54.163;46.575;70.034;69.224;227.19;223.739;227.644;225.985;268.107;549.657;560.056;610.485;534.689;605.731;308.706;194.194;188.15;215.336;91.483;241.813
7;7;True;True;0.0005;3;144;inverno;169;612;21;34;155;1682;758;13;120;16;13;12;348;0.987;1.351;19.873;18.207;55.861;48.036;71.708;67.893;228.454;225.497;229.737;226.325;263.954;557.97;583.19;609.296;530.797;605.935;356.02;204.864;239.327;218.473;133.85;201.124
8;8;True;True;0.0005;3;159;primavera;201;372;27;28;204;1859;1036;21;193;36;13;12;446;0.895;1.528;21.505;17.896;55.567;48.93;73.712;67.886;234.247;225.498;232.309;226.522;267.538;556.766;588.038;606.06;532.328;606.308;340.863;236.776;226.495;264.184;110.516;237.02
9;9;True;True;0.0005;3;170;primavera;179;185;42;29;243;1945;1169;40;244;76;15;14;534;0.961;1.669;21.108;18.966;53.703;49.821;70.486;69.268;232.449;225.609;229.168;225.737;259.962;556.966;598.686;619.447;522.627;614.872;360.486;241.179;248.67;264.391;132.886;249.089
10;10;True;True;0.0005;3;177;estate;166;96;78;25;283;1973;1236;61;269;112;15;20;589;0.764;1.535;22.469;19.512;52.552;49.319;74.25;68.916;233.865;225.861;230.333;225.386;267.75;557.867;602.865;628.361;533.344;616.422;253.885;262.325;181.708;262.488;107.562;258.566
11;11;True;True;0.0005;3;183;estate;123;55;115;25;298;2002;1248;82;285;146;17;23;629;0.925;1.733;24.109;19.512;51.509;48.854;81.782;68.724;233.0;226.748;235.073;225.236;275.636;562.024;599.764;629.992;534.873;622.732;344.509;319.927;255.691;335.919;115.945;330.528
12;12;True;True;0.0005;3;187;autunno;64;44;165;25;298;2002;1267;107;292;188;17;25;644;0.551;1.868;24.091;18.422;50.955;49.359;79.818;72.281;233.091;227.891;235.773;226.062;277.841;565.312;602.773;626.031;552.068;627.359;180.795;327.594;132.864;340.625;113.341;404.938
13;13;True;True;0.0005;3;190;autunno;27;31;203;27;303;2002;1269;122;301;214;17;26;646;0.85;1.703;23.806;18.556;51.129;47.926;80.29;71.815;232.935;228.37;234.613;223.741;273.968;557.815;598.935;638.222;533.226;631.481;251.871;399.148;260.097;331.259;117.258;356.481
14;14;True;True;0.0005;3;192;inverno;16;49;251;30;303;2002;1280;137;302;219;17;27;646;0.585;0.923;23.388;16.938;51.0;49.188;80.388;69.812;232.388;228.5;234.388;222.25;273.776;554.188;598.388;650.062;533.388;630.75;205.041;314.688;179.327;172.688;129.898;244.75
