;Unnamed: 0;tempo;stagione;num_volpi;num_conigli;num_carota;num_pozzanghera;numero_volpi_nate;numero_conigli_nati;numero_conigli_morti_fame;numero_volpi_morti_fame;numero_conigli_morti_sete;numero_volpi_morti_sete;numero_conigli_morti_vecchiaia;numero_volpi_morti_vecchiaia;numero_conigli_cacciati;eta_media_conigli;eta_media_volpi;percezione_media_conigli;percezione_media_volpi;velocita_camminata_media_conigli;velocita_camminata_media_volpi;velocita_corsa_media_conigli;velocita_corsa_media_volpi;soglia_fame_media_conigli;soglia_fame_media_volpi;soglia_sete_media_conigli;soglia_sete_media_volpi;soglia_fertilita_media_conigli;soglia_fertilita_media_volpi;soglia_morte_di_fame_media_conigli;soglia_morte_di_fame_media_volpi;soglia_morte_di_sete_media_conigli;soglia_morte_di_sete_media_volpi;media_fame_conigli;media_fame_volpi;media_sete_conigli;media_sete_volpi;media_fertilita_conigli;media_fertilita_volpi
0;0;5;primavera;25;63;294;200;0;0;0;0;0;0;0;0;12;0.75;0.75;17.651;17.48;49.698;51.08;70.429;69.8;224.476;226.24;228.984;227.72;273.238;563.56;542.111;597.48;554.524;603.48;215.46;232.8;192.857;232.08;84.0;84.0
1;1;10;estate;27;86;345;198;0;10;11;8;0;0;0;0;18;0.809;0.946;17.163;17.37;50.291;51.889;69.593;69.519;224.895;224.037;229.895;226.37;272.581;564.296;543.012;600.074;553.116;599.444;159.837;215.148;98.395;124.519;150.651;210.296
2;2;18;estate;26;160;351;178;0;110;13;9;1;0;0;0;41;0.807;1.674;17.394;17.269;49.612;51.846;68.406;69.654;224.7;223.885;227.45;225.962;270.9;563.846;534.75;601.423;561.45;599.077;194.863;154.731;131.931;181.115;91.938;392.077
3;3;35;autunno;69;424;200;171;35;397;25;11;2;0;0;0;81;0.633;1.003;16.672;17.29;48.349;51.42;67.521;68.841;223.981;222.913;227.927;224.594;268.585;559.014;542.908;601.29;554.993;595.58;202.422;141.29;101.87;108.246;42.495;79.768
4;4;62;autunno;82;734;64;106;48;848;84;11;5;0;0;0;160;0.78;1.541;17.871;17.317;49.228;52.037;67.533;68.841;223.443;222.39;228.195;226.28;265.454;562.476;547.177;603.171;558.99;599.878;278.421;134.22;170.089;172.171;73.206;199.537
5;5;86;autunno;101;586;20;73;69;1089;360;11;27;2;14;0;237;0.994;1.93;18.933;18.099;50.102;51.634;68.027;69.228;222.256;221.921;227.957;225.772;268.845;563.218;558.343;599.307;555.065;595.99;357.451;172.851;237.019;220.931;136.208;319.842
6;6;101;inverno;137;365;16;64;117;1286;679;13;70;13;14;9;324;0.876;1.493;21.989;17.752;54.567;51.241;69.518;70.839;219.381;221.942;228.655;227.38;272.553;565.672;562.186;598.708;546.03;598.708;336.047;189.423;215.562;211.226;104.458;204.723
7;7;111;inverno;155;153;30;54;152;1332;818;18;108;25;14;9;405;1.015;1.741;25.569;18.768;55.882;50.826;68.353;71.316;222.275;220.503;227.176;227.323;272.758;566.329;580.412;601.097;542.471;598.51;380.699;230.781;279.346;255.252;149.333;265.335
8;8;120;primavera;174;89;76;49;202;1396;888;22;123;58;14;13;478;0.753;1.706;27.753;19.431;53.539;51.839;70.944;69.741;222.124;221.075;226.596;226.534;264.292;568.149;599.371;597.989;569.438;599.776;270.292;261.937;187.303;284.851;81.157;270.885
9;9;126;primavera;150;37;121;57;244;1410;904;43;128;103;14;13;524;0.796;1.625;29.946;20.573;55.216;52.98;76.216;69.753;222.081;219.8;232.486;225.307;276.108;566.76;570.324;598.44;586.432;599.06;229.757;281.82;184.324;284.293;142.081;254.233
